ID,ONS Code,GSS Code,Area,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,,,,,,,,,,,,,,,,,,,,,
33,00AA,E09000001,City of London,122500,136450,170000,180000,203000,240000,253500,285000,300000,310000,341000,405001,366250,416500,440000,465000,485000,615000,724340
23,00AB,E09000002,Barking and Dagenham,49600,53500,59995,65000,78000,89000,115000,140000,160000,163000,168000,185000,190000,160000,171000,170000,174995,180000,215000
19,00AC,E09000003,Barnet,87309,100000,114000,135000,159950,174011,209000,235000,249950,250000,275000,295000,280000,290000,326000,323500,330000,345000,399950
28,00AD,E09000004,Bexley,65000,71000,79000,86000,99000,116000,139000,163000,175000,183500,195000,212000,210000,196000,215000,215000,210000,225000,250000
17,00AE,E09000005,Brent,72770,83500,96000,111750,138000,157500,187000,214700,225000,241250,249999,283000,277500,275000,283000,300000,320000,346000,376500
1,00AF,E09000006,Bromley,80000,86500,99500,115500,135000,152000,177500,205000,225000,230000,242500,260000,250000,249000,275000,275000,278000,295000,335000
31,00AG,E09000007,Camden,128000,145000,160000,190000,237500,249999,277000,275000,305000,325000,360000,410000,440000,420000,475000,480000,500000,585000,665000
10,00AH,E09000008,Croydon,64000,70500,78500,88500,109000,126000,151000,172000,186000,195000,206000,223000,228000,200500,220000,220000,230000,239000,265000
15,00AJ,E09000009,Ealing,80000,90000,103000,125000,145000,162950,190000,212000,232000,237500,249000,272000,270000,258600,279950,292950,310000,326000,385000
25,00AK,E09000010,Enfield,70000,78000,85000,94000,114000,129500,153000,180000,193000,200000,210000,234000,234000,225000,240000,240000,247000,250000,282073
14,00AL,E09000011,Greenwich,63995,66000,75000,90000,106950,122000,149995,169500,180000,199995,209000,224000,232000,220000,245000,249995,245000,275000,315000
21,00AM,E09000012,Hackney,66000,76995,87500,112975,135000,160000,180000,194000,213000,220000,247500,265000,265000,275000,292500,310000,325000,375000,430000
16,00AN,E09000013,Hammersmith and Fulham,119950,135000,157500,189950,220000,245000,265000,277500,300000,324000,350000,415000,435000,420000,455000,465000,490000,560000,642250
24,00AP,E09000014,Haringey,71850,81000,91500,110000,130750,150000,180000,192000,213600,225000,239000,268000,255000,250000,290000,302000,315000,337000,405000
18,00AQ,E09000015,Harrow,82500,94100,107950,124000,147000,165000,197475,230000,245000,249000,250000,280000,275000,250000,292000,294500,300000,325000,368750
4,00AR,E09000016,Havering,68500,74000,83000,90000,110000,122000,144950,174000,188000,195000,205000,223000,222000,199995,220000,220000,220000,232000,250000
3,00AS,E09000017,Hillingdon,72750,79950,89000,104000,125000,140000,167000,191000,210000,219000,230000,245000,246000,230000,249999,248625,250000,268000,301500
7,00AT,E09000018,Hounslow,73000,80000,95000,112950,130000,148000,174775,199950,215000,220000,235995,249999,249000,240000,249950,250000,263000,280000,316500
20,00AU,E09000019,Islington,100875,119000,145000,170000,198000,215000,245000,246250,250000,270000,297660,347500,350000,345000,385000,399000,407275,462500,528888
29,00AW,E09000020,Kensington and Chelsea,195000,225000,245000,283998,340000,360000,400000,405375,450000,465000,525000,650000,700000,675000,750000,790000,890000,975000,1198000
5,00AX,E09000021,Kingston upon Thames,86000,94950,109950,129950,153950,170000,198000,215000,235000,239950,250000,290000,285000,270000,300500,299950,318000,335000,385000
11,00AY,E09000022,Lambeth,74000,85000,100000,121000,156003,172000,195000,202500,220000,230000,245750,280000,275000,275000,302500,310000,320000,350000,420000
13,00AZ,E09000023,Lewisham,57200,63950,71200,82000,100000,120000,145000,165000,180000,185000,203000,225000,227000,215000,235000,239950,248500,260000,315000
8,00BA,E09000024,Merton,79950,84973,96975,120000,139950,160000,185000,200000,225000,233000,242053,264950,264000,250000,289975,295000,290000,320000,385000
22,00BB,E09000025,Newham,50000,56000,63500,71500,91500,110000,140500,172000,186998,197000,211000,230000,236000,198000,220000,219000,219000,230000,250000
27,00BC,E09000026,Redbridge,71000,76500,85000,97000,119000,137525,169000,195500,220000,227000,240000,250000,250000,230000,250000,250000,265000,272250,300000
2,00BD,E09000027,Richmond upon Thames,118000,135000,157000,182000,218000,226000,249950,269000,292000,300000,330000,382500,373961,377750,400000,420000,430000,475000,536000
12,00BE,E09000028,Southwark,71700,85000,99000,122500,155000,180000,190000,209000,222500,237500,247500,276000,280000,285000,315000,320000,330000,350000,410000
6,00BF,E09000029,Sutton,68500,74950,85000,97500,119000,132000,156000,175000,188000,200000,210000,233500,231500,210000,235000,232750,240000,250000,285000
32,00BG,E09000030,Tower Hamlets,77000,95000,115000,140000,162500,182500,200000,210000,230000,235548,249000,290000,291000,288000,305000,299999,305000,327500,380000
26,00BH,E09000031,Waltham Forest,56000,62000,71000,79995,96000,118000,149375,172500,188000,199000,215000,240000,234000,212000,230000,230000,241000,265000,320000
9,00BJ,E09000032,Wandsworth,93500,108000,125000,155000,182000,204000,235000,242000,260000,277475,314000,356000,350000,350000,379950,390000,417250,462500,532750
30,00BK,E09000033,Westminster,135000,163000,180000,220000,250000,280000,317500,325500,350000,380000,415000,475000,495000,499975,585000,600000,632450,725000,856693
